tld,registrar,registrant_country,domain_age,nameserver_domain,mail_domain,tls_age,tls_issuer,url_len,parameters_len,parameters_count,dollar_percent,dash_percent,underscore_percent,dot_percent,plus_percent,exclamation_mark_percent,star_percent,quote_percent,opening_bracket_percent,closing_bracket_percent,comma_percent,numbers_percent,url_entropy,is_redirect,subdomain_count,content_link_count,content_img_count,label
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.474008227548452,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4.38815450741941,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.443053603040052,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.466998074152292,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.536414237122231,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4.50545961261383,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4.558438218424667,False,3,0.0,0.0,illegitimate
xyz,Namecheap,IS,0.0,cloudflare.com,namecheap.com,,,25,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.9434651896016466,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.519976679963128,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4.363405344384737,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.349196208400892,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.349692968957871,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.452481006802994,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.4544014966128,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.443053603040051,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.430457025500559,False,3,0.0,0.0,illegitimate
site,"Registrar of Domain Names REG.RU, LLC",DE,227.0,cloudflare.com,reg.ru,1.0,GTS CA 1P5,41,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.433788517278396,True,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.534493747312426,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.474008227548452,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4.526986833359287,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.452481006802995,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4.572955285773964,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4.402671574768707,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.327668987655435,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.288402757271466,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.353533948577482,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.397085150625375,False,3,0.0,0.0,illegitimate
pl,Aftermarket.pl Limited,,0.0,cloudflare.com,dropped.pl,,,52,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.558438218424667,False,3,0.0,0.0,illegitimate
xyz,"Registrar of Domain Names REG.RU, LLC",PL,5.0,cloudflare.com,reg.ru,,,26,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.7671834678914604,False,3,0.0,0.0,illegitimate
online,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,4.0,cloudflare.com,publicdomainregistry.com,4.0,GTS CA 1P5,23,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.729446194905257,True,2,2.0,0.0,illegitimate
online,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,4.0,cloudflare.com,publicdomainregistry.com,4.0,E1,25,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6732696895151085,True,2,2.0,0.0,illegitimate
top,"NameSilo,LLC",US,39.0,dnsowl.com,namesilo.com,,,23,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.588354347173234,False,3,2.0,15.0,illegitimate
site,"Registrar of Domain Names REG.RU, LLC",DE,227.0,cloudflare.com,reg.ru,1.0,E1,41,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.33622754166864,True,3,0.0,0.0,illegitimate
online,Namecheap,IS,7.0,cloudflare.com,namecheap.com,7.0,E1,33,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.775475847209144,True,3,1.0,13.0,illegitimate
site,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,6.0,cloudflare.com,publicdomainregistry.com,6.0,E1,25,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.803074189428568,True,2,0.0,0.0,illegitimate
com,SafeNames Ltd.,US,6237.0,nsone.net,safenames.net,168.0,DigiCert TLS RSA SHA256 2020 CA1,24,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.136842188131012,True,3,2.0,1.0,illegitimate
net,OVH sas,PL,3158.0,net.pl,ovh.net,,,29,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.969207287858009,False,4,2.0,0.0,illegitimate
net,OVH sas,PL,3158.0,net.pl,ovh.net,60.0,R3,30,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.9810760119146074,True,4,2.0,0.0,illegitimate
net,OVH sas,PL,3158.0,net.pl,ovh.net,,,25,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.913269689515108,False,3,2.0,0.0,illegitimate
net,OVH sas,PL,3158.0,net.pl,ovh.net,,,32,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.941428031846024,True,4,73.0,13.0,illegitimate
net,OVH sas,PL,3158.0,net.pl,ovh.net,,,35,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.185867302411998,True,4,189.0,37.0,illegitimate
cfd,"NameSilo, LLC",US,0.0,cloudflare.com,namesilo.com,0.0,GTS CA 1P5,47,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.445249160455986,True,3,0.0,0.0,illegitimate
cfd,"NameSilo, LLC",US,0.0,cloudflare.com,namesilo.com,0.0,GTS CA 1P5,62,21,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4.838692125568649,False,3,14.0,18.0,illegitimate
space,PDR Ltd. d/b/a PublicDomainRegistry.com,US,1.0,cloudflare.com,publicdomainregistry.com,,,29,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.952302977662386,,3,,,illegitimate
space,PDR Ltd. d/b/a PublicDomainRegistry.com,US,1.0,cloudflare.com,publicdomainregistry.com,,,35,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.171860873964197,,3,,,illegitimate
cfd,"NameSilo, LLC",US,0.0,cloudflare.com,namesilo.com,0.0,GTS CA 1P5,49,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.272901559179403,True,3,0.0,0.0,illegitimate
com,REGISTRAR OF DOMAIN NAMES REG.RU LLC,AQ,0.0,dnspod.com,reg.ru,0.0,R3,36,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0588138903312005,True,2,0.0,2.0,illegitimate
xyz,Namecheap,IS,0.0,cloudflare.com,namecheap.com,,,26,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.748328660365574,False,3,0.0,0.0,illegitimate
xyz,Namecheap,IS,0.0,cloudflare.com,namecheap.com,,,24,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.053508854797679,False,3,0.0,0.0,illegitimate
